Station,Cluster,Line,Latitude,Longitude,05:00-06:00,06:00-07:00,07:00-08:00,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,19:00-20:00,20:00-21:00,21:00-22:00,22:00-23:00
West Ruislip,0,Central,51.56958715703546,-0.4378601343740381,-0.8072773234472557,0.7115073744452955,2.442481037216935,2.0332051577199364,0.5996456493819369,-0.07373770204892165,-0.27379825004418284,-0.3607368791114085,-0.4750246989862737,-0.49116274022881895,-0.10821700021669811,0.38668128171312444,0.5469122459501472,-0.04493121689764193,-0.7938485456247577,-1.0708025358186677,-1.115822976729026,-1.1050728772737177
Ruislip Gardens,1,Central,51.55995951052218,-0.40929410137403394,-0.42500045477859394,1.1159367126517454,2.6767478646107503,1.9609125297499443,0.4363255186478827,-0.15152514412014292,-0.2762210350136459,-0.35291000797807287,-0.38929756868086346,-0.17495679358892555,0.10001702293911324,-0.04342878011876054,-0.1907176116529907,-0.4611517577946819,-0.7809046394427176,-0.9435955240570977,-1.0281487998343168,-1.0720815315386247
South Ruislip,1,Central,51.55688965147795,-0.3991159010068219,-0.5047410399535665,1.2512535300984622,2.7747547163779465,1.7372563389999067,0.44967545288610006,-0.13447204081620265,-0.30070191944977054,-0.4109756641679272,-0.4450705619892057,-0.46518173777705873,-0.29547888052071425,-0.07803696484941311,0.22281065307323403,-0.14038506888618305,-0.7220668587357499,-0.9282674275265413,-0.9771450475824902,-1.0332274791808316
Northolt,0,Central,51.54821230018008,-0.3684405875976204,-0.20012419643597978,1.6477752746326932,2.3455763169269717,1.856013215845977,0.6998696174808032,0.05489404985981455,-0.16920138623662553,-0.29514253091791076,-0.33655069095570905,-0.38418566266017,-0.2814323272661589,-0.2083614299623434,-0.24938671907310808,-0.5135137553673438,-0.8218655457586422,-0.9771256460582942,-1.0550554508798442,-1.112183133174133
Greenford,2,Central,51.54197950701463,-0.3458787331310219,-0.46030491776868804,1.689121374428613,2.4251604270273313,1.7030259954318663,0.4454605175392877,-0.24304315619192146,-0.425674708071067,-0.3731559074135975,-0.3169244451869211,-0.35214580694442504,-0.283110132423845,0.08908366118447002,0.30049685462671516,-0.16178422400122233,-0.7898701055586201,-1.0145741744645378,-1.0791641858925516,-1.1525970663208869
Perivale,1,Central,51.53634129467288,-0.3230704159011666,-0.7813026044811128,1.0177501218625042,2.5764841509848275,1.8740744229067692,0.3989999186629325,-0.23205763775325083,-0.41581155420168764,-0.43488711301808924,-0.4654335585841869,-0.43712396868924985,-0.24647062368031739,0.19481941177788048,0.680919413563029,0.042712014558703965,-0.6808264185648079,-0.9676141270990332,-1.0482993739352093,-1.075932474309701
Hanger Lane,3,Central,51.5300715563412,-0.29299614055716494,-1.00630437980007,0.5401322744634312,1.9929439779577813,2.0250477335381736,0.5871399885860221,-0.027917912989519074,-0.27477350727584765,-0.4001050831778298,-0.4614763617523525,-0.42649723655207783,-0.24526933818424593,0.3396112295334014,1.2353229340418923,0.40039677626887166,-0.6899661859447531,-1.1044417314148685,-1.1940131663019058,-1.2898300109961052
Ealing Broadway,3,Central,51.51486148277942,-0.3020103761336258,-1.2524051584909501,0.15997281521936108,1.749255287798651,2.3137444471973345,0.5163944702339064,-0.26659202869318843,-0.39346109015649194,-0.3609753496570431,-0.34016355718664854,-0.3568873163157579,-0.019467705432072414,0.6854211070592761,1.0479911768945012,0.4646969402011388,-0.4517358229902941,-0.9806306289738069,-1.1753199661518312,-1.3398376205560913
West Acton,2,Central,51.51776969314101,-0.28065717090448683,-1.046360882995992,-0.07391733767349512,1.653214761223951,2.4562398322703767,0.8680419818360152,-0.02136950288303906,-0.2573712639338092,-0.3097425306586271,-0.3491093134992537,-0.28774802948524614,0.8081787750469671,0.4005159726199482,0.513164188884266,0.01201635755914875,-0.7483706218983325,-1.1122763814757153,-1.2355449369773515,-1.26956106795982
North Acton,3,Central,51.523432004609894,-0.2597295239222282,-1.364275797963309,-0.6216184782385428,0.5694495893413564,2.2765117066441443,1.0806371585111336,0.09410172918697417,-0.22082972918530666,-0.19462367213849557,-0.18580009471308892,-0.2904813736068521,-0.025084622202093773,0.8760964462341138,1.4556466413272844,0.656980119192205,-0.5467226203792068,-1.0726289624119105,-1.21394004827522,-1.2734179913231896
East Acton,3,Central,51.51626301045364,-0.2481122212813141,-1.3119604264647018,-0.15097633393700516,1.1992858050356567,2.047161267600548,0.6791702725555668,-0.07592340496507359,-0.27678223935552104,-0.3086077833429501,-0.3285733332214012,-0.3016376409154613,0.1645596208764503,1.010444530929225,1.5198906640900605,0.49905333246510075,-0.6090943114976519,-0.9976503203014171,-1.3043308159219873,-1.454028883629436
