Station,Cluster,Line,Latitude,Longitude,05:00-06:00,06:00-07:00,07:00-08:00,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,19:00-20:00,20:00-21:00,21:00-22:00,22:00-23:00
West Ruislip,0,Central,51.56958715703546,-0.4378601343740381,-1.6862847444208542,-0.7856954082613575,0.8647370570674299,0.7934309243989259,-0.4553401841142728,-1.031803772224461,-1.07168308259157,-0.8416660103977464,-0.7081586016205043,-0.1910751988006861,0.1751988046165161,0.7185300083520983,1.7547261282595226,1.8782160724258103,1.0641096076775056,0.08378602008402164,-0.1313484893144328,-0.4296791311359423
Ruislip Gardens,1,Central,51.55995951052218,-0.40929410137403394,-1.272778231698273,-0.962961276845723,0.13434253499027332,0.21969531640472348,-0.6834347620157368,-0.9283239474000773,-0.8534701242278023,-0.8040016813964153,-0.6058282187208778,-0.38784863430306915,0.023851511805581267,0.9915371362003126,1.9699273682854306,2.1506954265362026,1.2687458480087588,0.07679908452725413,-0.12926843241500743,-0.20767891773555475
South Ruislip,1,Central,51.55688965147795,-0.3991159010068219,-1.2930662988102284,-0.9699162556079992,-0.1799353276925653,0.053461659403648824,-0.6318204203084761,-0.8296939743759157,-0.8222326510323196,-0.7247448528381782,-0.5682898175847496,-0.3310105188483199,0.16524632466119096,0.9289800650898885,1.9972307185118237,2.2962500086535855,1.1568259873358386,0.1923383741480147,-0.1619517056151101,-0.27767131509013343
Northolt,0,Central,51.54821230018008,-0.3684405875976204,-1.1950785431871644,-0.9722614191109117,-0.3789082904462967,-0.20758736353911464,-0.721511366702662,-0.8517415295005347,-0.8064040136680762,-0.7088102268735305,-0.5244011493314752,-0.2615073863084447,0.17251923312125259,1.109720254739752,2.053280109760741,2.2047497550566306,1.1266127414954017,0.22781738187507047,-0.09504042454862603,-0.17144776283201182
Greenford,2,Central,51.54197950701463,-0.3458787331310219,-1.3308598157746123,-0.51410686376542,0.39445577384540575,0.317933872148552,-0.39735626600109497,-0.8899938980439618,-0.9314187283815278,-0.8496670031172227,-0.6372528580496418,-0.427861704287467,-0.0734267261922574,0.7765154867970687,2.263437633323399,2.1879034360951954,0.8875875193323014,-0.04926384664463608,-0.30610387572643205,-0.42052213555765183
Perivale,1,Central,51.53634129467288,-0.3230704159011666,-1.417910861866367,-0.7969549147796623,0.17720464991240706,0.46104715856613915,-0.08061358902470615,-0.7231710851533657,-0.9053912841371087,-0.8357034940569336,-0.6346882994198602,-0.40313287337238984,0.11468976845331069,1.009375159249134,2.1588283275496454,2.190422092841138,0.7459822749306085,-0.13327958810070298,-0.4224349238915944,-0.5042685176996939
Hanger Lane,3,Central,51.5300715563412,-0.29299614055716494,-1.6140673190498285,-0.6344718013682838,0.2501364310545463,0.7376679356736713,0.3190930715934666,-0.8180182699267368,-1.0990180703373156,-1.0288932300691978,-0.8156405172397073,-0.5813743496762788,-0.11449893934864519,0.8378964859868037,1.8739797904128643,2.0132443704536325,0.9963444865931254,0.04007389171261292,-0.13285461803396337,-0.22959934843076357
Ealing Broadway,3,Central,51.51486148277942,-0.3020103761336258,-1.6494454662124645,-1.254883569560147,-0.3626046315325224,0.6560446527018944,-0.017270801171199262,-0.6721489190001837,-0.7375429712341226,-0.627978292680391,-0.4094838772890892,-0.28277986423735807,0.10068524657434468,0.7351071997121075,1.8132458612955613,2.2835125335439264,1.1015736218069125,-0.008690175726691103,-0.24521680158747217,-0.4221237454031059
West Acton,2,Central,51.51776969314101,-0.28065717090448683,-1.5730855760100706,-1.3675594364363426,-0.10369148158622257,2.1120102966625387,0.3096505378074477,-0.8729756321431728,-0.9462624404945132,-0.8170375221649012,-0.6297233791838901,-0.21346536272667357,0.44071160707939105,0.7448576744343298,1.2366055359743837,1.5660817721709368,0.6715255382286809,-0.03238422372729546,-0.26131522153968556,-0.2639426863449396
North Acton,3,Central,51.523432004609894,-0.2597295239222282,-1.7421593593074645,-0.18049377616025566,1.978764829830344,1.2844125270617814,-0.0349188045226454,-0.9870051888370635,-1.1076406027115693,-0.9534829946107818,-0.6904228996464333,-0.554788128996682,-0.15980005783318452,0.7206625459701861,1.3882722055180157,1.3325808984387437,0.3148393883296704,-0.19916575947300447,-0.18830887922159442,-0.22134594382806375
